"Feature","Gain","Cover","Frequency"
"orders_per_dasher",0.254378780911024,0.099193883428581,0.0834692315372583
"estimated_store_to_consumer_driving_duration",0.133648682222825,0.0714662487211201,0.0804739241854428
"order_hour",0.105723044339805,0.0386833339204167,0.0462608579891503
"subtotal",0.0809355626607505,0.0617495285106297,0.074366825307019
"store_id",0.0620589928016866,0.16415671337345,0.118031750257929
"total_onshift_dashers",0.0365498342913004,0.0318932237407493,0.0497387426365361
"total_busy_dashers",0.0331558517120611,0.0414825661457167,0.0457117183079842
"busy_ratio",0.0300252986725648,0.0201175620604956,0.0350783772090392
"order_dow",0.0291394821329985,0.0210245743545557,0.0334309581655407
"total_outstanding_orders",0.0240505738953646,0.0384013325971784,0.0459613272539688
"max_item_price",0.0225819306138542,0.0478731508388402,0.0535660798083003
"estimated_order_place_duration",0.0208965178028366,0.00879082549705084,0.0101008420141778
"avg_item_price",0.0201314859712289,0.0596884433237742,0.0608713016274503
"min_item_price",0.0150933963656349,0.043026288513617,0.047159450194695
"item_price_range",0.0134847963088683,0.0318104874455972,0.0403201650747163
"order_protocol4",0.010699212575749,0.0080122078760563,0.00655639498119613
"market_id2",0.00963280446441957,0.00304202309881824,0.00698905048756947
"is_weekend",0.00834145184861526,0.00193416408627829,0.00765467434352847
"num_distinct_items",0.00792067729619741,0.00910503011127009,0.0110659966053183
"market_id3",0.00598542228460426,0.00461194728189195,0.00609045828202483
"order_protocol5",0.00528841469876715,0.0035561777985423,0.00632342663161048
"store_primary_categorypizza",0.00508722016549364,0.00483809731846838,0.00391054015375911
"total_items",0.00483801064997881,0.00945434508325767,0.013911538589543
"distinct_item_ratio",0.00440456221882422,0.0116647103399632,0.0157253635970313
"store_primary_categorydessert",0.00429850470911801,0.00314393634143736,0.00366093120777449
"market_id4",0.00422879581112649,0.00563406786329968,0.00638998901720638
"market_id6",0.00376643367269976,0.00520840300899326,0.00467600758811196
"order_protocol6",0.00313052020827147,0.0044960197217946,0.00176390321829134
"market_id5",0.00295286087527064,0.00543208124655717,0.00435983625653143
"store_primary_categorysalad",0.00269959584851698,0.00403284634272921,0.00264585482743702
"order_protocol2",0.00263426838006851,0.0048996266592721,0.00499217891969248
"order_protocol3",0.00254812420515665,0.00174883135519027,0.00472592937730888
"store_primary_categoryjapanese",0.0024770569152403,0.00310791630198117,0.00361100941857756
"store_primary_categoryfast",0.00222471116278018,0.00147447378146244,0.00184710620028622
"store_primary_categorymexican",0.00203046180151308,0.00272831899593749,0.00234632409225547
"store_primary_categorysandwich",0.00202106488939863,0.00253033367375033,0.00326155689419909
"store_primary_categoryamerican",0.00138046519512442,0.00312239384876151,0.00367757180417346
"store_primary_categorychinese",0.00130753131328316,0.00269230268468494,0.00247944886344727
"store_primary_categoryNA",0.000986250248565156,0.00198739164962933,0.00242952707425034
"store_primary_categoryindian",0.00096321922988744,0.00204745301025028,0.00189702798948314
"store_primary_categoryburger",0.000788469478683809,0.00333972015937582,0.00216327753186674
"store_primary_categorymediterranean",0.000768377795100742,0.00161223743027219,0.00159749725430159
"store_primary_categorybreakfast",0.0007388743227545,0.00333237653025831,0.00166405963989749
"store_primary_categorythai",0.00073800925418102,0.00222108477421794,0.00144773188671082
"store_primary_categorysmoothie",0.000736662233487684,0.00211449822833759,0.00181382500748827
"store_primary_categoryother",0.000707569065953077,0.00207540055677757,0.00203015276067494
"store_primary_categoryitalian",0.000699103055857606,0.00167447140156364,0.00181382500748827
"store_primary_categorybarbecue",0.000646152745402226,0.00281215231501029,0.00118148234432722
"store_primary_categoryseafood",0.000626120568414054,0.000434640504566804,0.00121476353712517
"store_primary_categorymiddle-eastern",0.000482539319990964,0.00221171673052457,0.00124804472992312
"store_primary_categorybubble-tea",0.000476354524280085,0.00367460605123036,0.000765467434352847
"store_primary_categoryburmese",0.000476002358095645,0.000844980577815958,0.000915232801943622
"store_primary_categorygreek",0.000473333239370484,0.00280554687021326,0.000931873398342597
"store_primary_categorytapas",0.000464962431277046,0.00470697173623749,0.0010649981695344
"store_primary_categoryvietnamese",0.000454947881746621,0.00115125250674277,0.00118148234432722
"store_primary_categorysushi",0.000441570098130905,0.00109340103882871,0.0010649981695344
"store_primary_categorysteak",0.000440946604103221,0.00202845035630335,0.000865311012746697
"store_primary_categorykorean",0.000426867181305032,0.00154892694018003,0.000782108030751822
"store_primary_categoryalcohol",0.000404739106806454,0.00224724185094771,0.000965154591140547
"store_primary_categorycatering",0.0003923785781707,0.00146278865920755,0.00111491995873132
"store_primary_categoryasian",0.000387983597197638,0.00116289848285944,0.00103171697673645
"store_primary_categorycafe",0.000376396825291474,0.00247656831702439,0.00114820115152927
"store_primary_categoryhawaiian",0.000315905379151932,0.00245542940239244,0.000798748627150797
"store_primary_categoryvegetarian",0.000278571360455266,0.00178887319432181,0.000865311012746697
"store_primary_categorycaribbean",0.000275859193496585,0.00120119365858621,0.000715545645155922
"store_primary_categorybrazilian",0.000271461134596201,0.0032438428784479,0.000599061470363098
"store_primary_categorydim-sum",0.000226367297754034,0.00123020467520148,0.000765467434352847
"store_primary_categorycomfort-food",0.000224699510009843,0.00592291044021513,0.00104835757313542
"store_primary_categorypasta",0.000187347857354561,0.000717647510736637,0.000416014909974374
"store_primary_categorypersian",0.000169232694725691,0.00202165570517165,0.000366093120777449
"store_primary_categorynepalese",0.000154961051091335,0.00245620020849476,0.000465936699171298
"store_primary_categorysoup",0.000149070624929625,0.00260883006931419,0.000565780277565148
"store_primary_categorylatin-american",0.000147112058551474,0.00133455336684764,0.000549139681166173
"order_protocolNA",0.000142707298746816,0.00221150422291715,0.000482577295570273
"store_primary_categoryfrench",0.000132659960740612,0.00141653936101742,0.000399374313575399
"store_primary_categoryconvenience-store",0.000131306260517497,0.00211157997693933,0.000532499084767198
"store_primary_categoryvegan",0.000123268702180165,0.00270950834447797,0.000416014909974374
"store_primary_categorygluten-free",0.00011481138081703,0.00239739898070372,0.000366093120777449
"store_primary_categorymalaysian",0.000111525522404698,0.00167542395759335,0.000366093120777449
"store_primary_categoryfilipino",0.000102080720733543,0.00159210792677544,0.000399374313575399
"store_primary_categorygastropub",9.66941234876216e-05,0.00190118346483862,0.000332811927979499
"store_primary_categoryperuvian",8.70567483011287e-05,0.00160836382669148,0.000366093120777449
"store_primary_categorysouthern",8.49243752145062e-05,0.00192798831695063,0.000399374313575399
"market_idNA",7.23669821334844e-05,0.00167685185958701,0.000366093120777449
"store_primary_categorycajun",6.9172676028114e-05,0.000938132541883919,0.000249608945984624
"store_primary_categorypakistani",5.94959771139066e-05,0.00197216380186668,0.000282890138782574
"store_primary_categorybritish",5.58718940316889e-05,0.00139397906874817,0.000249608945984624
"store_primary_categoryturkish",5.26653029351491e-05,0.00116630978918894,0.000232968349585649
"store_primary_categorygerman",4.96197579733909e-05,0.00184966528285596,0.000266249542383599
"store_primary_categorysingaporean",4.74872032035585e-05,0.00156859787462921,0.000232968349585649
"store_primary_categoryargentine",4.24749909299334e-05,0.00095999099981816,0.000232968349585649
"store_primary_categorymoroccan",3.76710383793792e-05,0.00137726646388638,0.000199687156787699
"store_primary_categoryspanish",3.56253629174752e-05,0.000784440143027425,0.000183046560388724
"store_primary_categorycheese",3.25837081138603e-05,0.00160072566948651,0.000232968349585649
"store_primary_categoryethiopian",2.20759247377822e-05,0.000868931490042471,0.000149765367590774
"store_primary_categorykosher",1.78083731620302e-05,0.00055022413787847,9.98435783938496e-05
"store_primary_categoryrussian",8.78440123758377e-06,0.000581183140895003,8.32029819948747e-05
"order_protocol7",8.08843631565791e-06,0.000585108939326652,8.32029819948747e-05
"store_primary_categoryeuropean",6.92984382147915e-06,0.000469534626524083,6.65623855958998e-05
"store_primary_categoryirish",3.42323463141284e-06,0.000228760711174492,3.32811927979499e-05
